post_txt,is_slang
"{$USDRUB} Потом, когда банан опять пойд?т ко дну, все опять будут кричать, ""нас кинули"", 
""нас не предупреждали"". Вам уже и коммиссию опять повышают и ценные бумаги запрещают, а вы всё верите в его рост?! Если до зимы и поднимется до 65-70, бегите от него, как ч?рт от ладана!!!",0
{$GAZP} ИИИИ что расти больше не будем я шортить хочу а то и шорт страшно и лонг страшно,1
"{$YNDX} вот и сказки конец, а кто купил тот инвестор...",0
{$NGZ2} {$NGF3} Криворукие. Придётся возвращаться.,0
{$SBER} любые просадки откупаются быстро,0
"{$VTBR}
Нормально, растём неделями, падаем за минуту. @1f7d0347-3802-4159-b527-f414f56fe3ec, когда маркетмейкера себе наймете, чтобы спрэд не был как в акциях третьего эшелона?",0
{$BELU} @87191f0f-5a79-43f9-80e1-8507723f40f9 я ТЕБЕ говорил сбер бери),0
"{$SGZH} дамы и господа покупайте сейчас, иначе будет слишком поздно потом...?????????",0
"{$USDRUB} приключения и интрига с понедельника начались, чую неделя будет весёлой.",0
"Деньги из мусора, хоть и небольшая сумма, но все же деньги.
И сколько тысяч ежегодно мы выкидыаем в помойку, когда могли бы и природу спасти и заработать на этом.
#природа #экология #деньги #СпасениеПрироды",0
"{$NVTK} {$YNDX}  отличный индикатор, когда пульсяне топят ""пора покупать"", значит точно вниз и встаём в шорт)",1
"Привет всем я живу в деревне где нету работы и даже закрыли магазин и медпункт, вот решила попробовать себя здесь но толком ещё не чего не получается, конечно таких у меня денег нету какие вкладывать надо. Может кто нибудь даст совет заранее благодарю",0
Портфель хочу собрать из облигаций.Какие посоветуете.,0
"{$SBER} блин, страшно в шорт вставть всё ещё))) держу пока лонг до закрытия... Там видно будет, возможно перезайду, как поведёт себя",1
-3100 руб по открытым позициям сегодня. Надежда на завтрашний день.,0
"{$CHMK} кстати вчера в мгтс примерно такая же ситуация была, вопрос только времени,час-два-три?????",0
"{$MRKV} труп,больше не зайду сюда",0
"{$PTON} странная акция. Индексы вниз, а она вверх.",0
"{$HRTX} покупают же,значит знают что то",0
{$KAZT} вверх перед дивами поползет?,1
"Что-то я знатно прогорел, на эмоциях купил акций и даже не посмотрел что я покупаю на самом пике за последние полтора месяца, оставлю их лежать на счету, верю что когда нибудь в плюс и уйду, но всё равно очень жалко",0
"{$LSNG} как только ? стрельнет , все переобуются из обуви сюда , обувь то прикармливает до поры до времени , спекулянтов скоро она нагнет сильно ???",1
"{$USDRUBF} Тут как расчёты проходят, каждый день?",0
"{$CNTLP} если коснётся 17  бахну! Ахах
Стоп поставил на 15.96 стремно чтоб не выбило, прям мем как чел внизу запостил",0
"{$SNGSP} в понедельник, значит полетим, Китайцы, Арабы, Индусы, парочка чёрных корешей из Африки толкнут цену на верх, крикнем троекратное ура Энергокризису  ура, ура, ура ????",0
"""БКС МИ"" повысил целевую цену акций НОВАТЭКа до 1700 руб",0
"{$NGH3} БА вниз, Фьюч вверх ? Куканго с 30 до 80 выпосло за 5 минут ?",0
"{$SAVA}
{$PTON} 
кто-то Наждак уже откупает , лесенкОю",0
"{$SBER} как только взял в Лонг, стал падать? жду ближайших взлетов?",1
"{$BELU} вот щас локти кусают те кто продал по 3450-3500 когда мы спартанцами защищали щитами Белугу?кстати они даже не пишут,пропали?",0
"$RU000A100VY0 добрый день всём инвесторам, подскажите кто что знает, не ужели совсем тухлая компания что чем ближе погашение тем ниже цена?",0
{$NGG3} А юрики прилично закрылись сегодня. В понедельник посмотрим куда встанут ?,0
"{$SBER} как то вяло запрягает,хомяки ,до последнего, не хотят верить в неизбежное.))",1
{$ENDP} опять не Раст ?,0
{$ORMP}  Только купил сразу вверх,0
{$NGH3} прям ползком тихо выкатывается из канала,0
{$AMEZ} сейчас опять наверное начнется мясо,0
"{$FESH} сегодня вроде суд по компании ,если все ок то вверх",0
"Приобрел чуток {$MRKZ} 
В течении 6 месяцев только рост. 
Потенциал есть. 
Надежда есть
Миллиона нет, 
Надо выигрывать
#идея_на_миллион",0
{$COIN} 60$ будет потому что плохой новости в Америке ещё один криптобиржу закрыли,0
{$USDRUB} Похоже это не закончиться никогда. Видимо никто не пойдёт ни на какие уступки и договоры.,0
{$GAZP} какие мысли на открытие в понедельник? К 270 или 240?,0
{$FESH} вроде кое какой разворот вверх пошел...,0
"{$AFLT} Захожу в лонг по 23.8 возможно просадка до 23.6 дальше рост.
Не верите не покупайте)
Захожу на пол депо.",1
{$NGU2} кто знает как откроется  (ngu2) газ ? Гэп вверх или вниз?,0
"{$LKOH} верю в рост,переношу позицию на сл неделю",0
{$YNDX} как кстати у неквалифицированных дела обстоят?,0
{$BLUE} друг я в тебя верю???,0
{$COIN} американцы могут толкнуть вверх! Будьте осторожны.,0
{$NGG3} кого нибудь закрыли принудительно?,0
"{$SBER} кстати, как вам выступление Набиулиной? Как вам 145 рублей за бумажку? Если папа сказал, что отыграно ещё вчера было и вас засаживают, то не спорьте.",0
"{$TCSG} Тинькофф! Реши, наконец, проблемы, в которых люди, доверившие тебе свои деньги, не виноваты!!!",0
"{$NGG3} Че то за базой уже не хочет идти, она вниз, а у нас его наверх тянет",0
"Каждый живет, как хочет, и расплачивается за это сам.",0
"{$NGF3} Газу расти не на чём, о каком росте все говорят?",0
"{$NMTP} момент истины, выход из сужения, либо вверх либо вниз, ложные пробои идут туда и туда. Полный рандом",0
"{$MMZ2} фокусы продолжаются... Тут точно что то не чисто с Фуфел_Trading.  Его провокационные посты не удаляют, а мой пост о его неправдоподобных постах удалили в три счета )))
Правду никогда не любили ))",0
"{$PLZL} С чего вы взяли, что будет падать, по стакану, так только бычки",0
"{$LKOH} Не, ну надо 4500 хотя бы... А лучше - 4350)",0
"{$OKEY} я чето усреднился и на одном месте стою, ? когда
, ее старт",0
{$YNDX} и дропать страшно и держать ?,0
{$USDRUB} магия ЦБ в деле? Фокус-покус будешь 60!?,0
{$TGKBP} кто нибудь вообще знает о существовании этой бумаги ? Что за дно?,0
{$SNGS} сургут что нибудь купил на баксы?,0
"{$RU000A1045V1} ну короче вечером проезжал мимо Клина решил проехать мимо их площадки, ну чет там свет горит работают похоже?и охранник даже есть и кпп, бабки на содержание персонала похоже есть в закутке",0
"{$VTBR} Рост, рост и еще раз рост... ОТРИЦАТЕЛЬНЫЙ...",0
{$RKLB} всё таки вверх,0
"{$UWGN} заработал на вагонах с пятницы 20%к портфелю, вчера докупил ещё, жду рост на ближайшее время10%15%, средне срок 20-30%, посмотрим что получится, верю что всё пойдёт по плану. 
#идея_на_миллион",0
{$MOEX}  Закрыл по лучшей цене +2%?,0
"{$SBER} хрень какая-то вечером вообще еле ходила ,куда-то полетела",0
{$LKOH} На вечерке хотим стрельнуть повыше. Стоп под 4630. Цели определите сами. Больше внутридневных сделок в профиле.,0
"{$PLZL} Минимум 8390р...

Опять угадал на чаинках???? НЕТ друзья, просто аналитика...база теханализа!",0
{$COIN} там гэп на 96 не закрыт ?,1
"$NGZ2Немного бальзама для тех кто в лонге .
Обратите внимание на объемы в 22 15, вчера и сегодня!Вчера закрывали лонги, сегодня шорты откупают .Мы выше 5.35, и есть вероятность что азиаты ночью подкинут.А дальше будем посмотреть)))",1
"{$PTON} ожидаемо))) на всех отчётах она падала, вчера разгрузилисьи нет смысла вверх толкать, теперь снова вниз со всем рынком.",0
{$SBER} единственное о чем я жалею что не осталось денег чтобы усреднить шорт со 110,1
"{$COIN} до утра не сплю, лонгустов держу!",1
"{$MSTT} жалеть, что не взял 159,6
Жалеть, что не взял 175,45
Жалеть,что не взял 192,95
Жалеть, что не взял 212,3 и т.д",0
"{$LSNG}
Умница, как гладко идёт, я в шоке, как будто искуственный график, закрыл гэп, дал купить и пошёл на своё место. ??",1
{$ORUP} а чо никто не сливает по рублю,1
{$ORUP} помню декабрь начиналась вроде с 8р потом 4 дня планки,0
{$COIN} есть кто в лонг брал сегодня?,1
"{$ENDP} ну вот, если хочешь к себе внимания, то обязаьельноты должна быть в портфеле каждого.",0
"$LIFEв с понедельника пойдём покорять 7,5, дальше больше",0
"{$BBBY} последняя возможность выйти со скама, старички правила уже знают. Кто последний - тот инвестор",0
"{$POLY} на дно! Извини Полина, ничего личного....",1
"{$NGG3} чего, если такой умный, сначала оставил тут кучу денег. Но опять заморосил и скинул почти все, оставил 20шт на утро
И вообще, каким идиотом надо быть - огромные минуса пересиживать и резать в самой попе, а 20-50тр плюса радостно фиксить,а потом смотреть как растёт дальше",1
{$DSKY} как продал молниеносно вверх. Русская рулетка ????,0
"{$BIG} {$BBBY} любители байонда, присмотритесь к этой акции, тут шортов 38%, его тоже сквизнут скоро, как минимум 32 жду.",1
{$CLOV} сидишь и смотришь как другие улетают вверх(,0
{$NGH3} кто орет что с текущих отскок не выставляйте себя клоунами,0
{$GAZP} нет слофф... Бегите. Я остаюсь. Нет  выбора! Желания выходить тоже.  Всё отрастет хоть и позже. Подожду не топоплюсь....,0
"{$GAZP} на лонге с 189..  закрыл позицию, забрал +40к , рискую встал в шорт.",1
"{$GDM3} ммм танго 19, мм может, умеет и прктикует собака. Главное в самом конце потом у 1960 в 5 его превратить, чтоб дядьки по феншую вошли в лонг.",1
"{$NGG3} вариантов масса
 выбирайте какой Вам больше нравится
 
Дорисованная чаша с ручкой на 5-ти минутке 
Предполагаемая голова с плечами перевёрнутая, но ещё не дорисованная 
Двойной дно на часовике 
Че там ещё нашла…
Ааа 
Флэт на 4-х часом ещё был  ?",0
{$SPBE} ну шо...вован ничего плохого не сказал. Где рост?,0
{$SVAV} моя #идея_на_миллион на сегодняшний день,0
{$GAZP} прогноз. На дивах уйдём на 250 потом выступление батьки и снова на 200..,0
"{$TAL} ту зе Мун , как говорится ?",0
"Те, кто шортит - вы с голой .... останетесь. Прям конкретно. По нефти ничего не сократят. Новак получит щелбан и пошопившись в венских бутиках улетит домой. Цена нефти будет падать. Бакс улетит в космос. {$USDRUB} {$SiZ2}",1
"{$KMAZ} отличная компания. Купила, потому что показывает уверенный рост. Моя #идея_на_миллион.",0
"Я ушёл не уроните бакс без меня плиз, только наверх!",0
"{$PLZL} Есть мнение, что возможно закинут на 500\520 и фтыщь!",0
{$SBER} в целом ничего и не сказали сверх…,0
"{$COIN} на 200, снова через 55",0
{$UWGN} 170 край,0
{$BNGO} ну что думаете?) выберемся из этого или потеряем наши денюшки?),0
"{$TCSG} сливайте все, мне надо купить по 2450
В новогодние праздники всегда все растет
Пьяные хомяки все покупают ??",1
Ночью в 3-50 Тинькофф опять мутит маржин колл.,0
"{$APLT} дневной объем прошёл за несколько минут, а движения нет, плохой знак(",0
"{$SBER} быки, не продавайте сейчас! Продайте ниже))) Шучу, конечно)",0
{$W} хочет ведь пробить),0
"{$BSPB} завтра будет жесть : сначала вынесут наверх люди не разобравшись с дивами, а потом - жестко вниз, так как акция шортовая в других брокерах, рублей до 120 на маржинколах, а потом снова вверх на откупе шортов и любителях усреднять. А может сразу вниз…",1
{$BBBY} депо тает на глазах.,0
{$SBER} перед отчетом подрастёт?,0
Минобороны опровергло сообщения об увольнении офицеров ДНР и ЛНР,0
"{$ORUP} надёжные акции и сайт хороший,))",0
В Кремле ответили на вопрос о трудоустройстве бывшего главы Чукотки,0
"{$GAZP} Всем привет!!!  Какая у кого средняя и сколько акций, делимся в коментах;)",0
{$PLZL} макулатуры много стало,0
"{$DSKY} решила попробовать пошортить немного, до этого этим не занималась, как думаете до скольки упадёт? ?",1
{$ROSN} 400 возьмём?,0
{$TCSG} спускаем ракообразного с небес на землю,0
"{$CLOV} что за дела? Я ожидала что он грохнется до 0,7% и откупорила коньяк выпить за упокой папиры, а он не падает ?",1
"{$COIN} как откроемся может стоить как 86 так и 76, зависит от данных по инфляции",0
"Про доллар по 200 ?
Одна депозитарная расписка {$TCS} торгуется в Лондоне по 12 {$USDRUB}, а на Московской бирже по 2693 рублей. 
Немного математики и можно посчитать курс доллара:
2693?12=224,42
#прояви_себя_в_пульсе #юмор",0
"{$MAGN} вчера вечером предупреждал, всё в точку",0
{$MSTT} я пока вышла. +30 тыс за день. Уже достаточно. С утра на {$KROT} +20 % сделала. Отбила пятничный минус.,0
"{$GTHX} подскажите пожалуйста, сработал колокольчик открыла закрыли по бумаге торги на 8 дней это из-за чего может быть ?",0
{$NGG3}  ну всё чё... тройное дно на минутках полетели))) всем салям,1
"{$NGG3} ну вот каждый запрвленный танкер плюс 6-7% там ещё стоят 4 медвижатам привет картинка прилогаеться, торгаш Михаил привет?",0
"{$GAZP} не слушайте подобных умников , думайте своей головой.",0
{$SBER} хорошая точка для входа ?)или рано ?,0
"{$BABA} как думаете, как завтра откроется?",0
"{$COIN} кто зашел в такое время, что все слили? 17.30 уже было...",0
{$TCSG} будь ты проклят банк мочи,0
{$MSTT} думаю сегодня уже даже колебаться  не будет А завтра +10-15%,0
"?? {$MGNT} 
Магнит откроет в этом году до 50 магазинов нового для компании формата «у дома плюс», расширяя контур тестирования - ритейлер

? ПРЕМИУМ от Тинькофф банка БЕСПЛАТНО на 2 месяца ??

https://www.tinkoff.ru/sl/5MfIafbAZhw",0
"{$USDRUB}  ""будем продавать за рубли"", ""Европа замёрзнет"", ""зато мы все попадём в рай"", ""токсичный доллар"" и другие русские народные басни",0
{$SAVA} после такой нвоости в прошлый раз на 20% выросла,0
"Сейчас я знатно прифигел, увидев комиссию на {$USDRUB}
Осенью я подключал бесплатный Премиум, чтобы получить квала. А по истечению тарифа меня «обнулили»…
Т.е. не вернули обратно на трейдера, а подключили начальный тариф без уведомлений. 
Спасибо @4f437726-a361-4f6d-bb49-ab53d5553a6c , не думал, что скатитесь до уровня альфы в обмане на таких мелочах.",0
"{$BLNG}  если не сольют, завтра будет геп на 3-4% прям как в обуви плита пару месяцев назад",0
"На сишке сейчас в стакан гляньте, интересная борьба идет",0
"{$USDRUB} завтра заседание Совета Директоров по ставке, рынок уверен в ее снижении до уровня в 7,5 (-50б.п.)%. Узнаем значение в 13:30 МСК.

Всем профита!
????ушпилила?

Подписывайся, палец вверх и я пойму что Тебе это интересно.",1
"{$LPL}
#идея_на_миллион 
Хочется что-то сделать с этой акцией, да не получается! Полный штиль ни купить ни продать 3 сутки!!!",1
"{$MDMG} щас подписчики профита запампят бумагу, только потом она сдуется, поэтому сейчас кто хочет брать, то нужно переждать
Не ИИР",1
"Заметка для самого себя, меньше паники.
Нужно больше думать и не делать не нужные продажи или покупки.",0
"{$GAZP} на секунду отвлёкся и тут такое, хорошо часть фиксанул на 230",0
"{$SBER} эксперты, а где инфа про сбер в долларах? Он же где то стоил 2 цента за акцию...",0
"{$USDRUB} кто-то в лоб решил разогнать курс на старте, выставив заявку на продажу и покупку.",0
"{$NGF3} газопровод пробило, давление на 0 падает!!!!",0
{$SBER} ураа  уже в 0 вышел уже))) пусть дальше растёт,0
{$NGJ3} по заказу,0
"{$LNZLP} Кто сливает цену… без объемов ?? идем и даже больше чем обычные упали, с чего открылись на то и пришли. А золото тем временем ??. На следующей неделе жду 1900-2100. Если ничего плохого не произойдет вокруг ?? Всем профита ?",0
{$POLY} нестабильное лензолото нервно курит в стронке глядя на реального кандидата на повышение?,0
{$SBER} кто его так толкает то ?:)) это что в честь взятия соледара и капитуляции чтоли ?:),0
"{$NLMK} 
Находится в рамках предыдущего прогноза.",0
"?? {$TCSG} {$TCS} #санкции #банки  
??ЕС вводит санкции против Тинькофф банка

Евросоюз объявил о десятом пакете санкций против России: в него вошли три российских банка — Тинькофф Банк, Альфа-банк и Росбанк, следует из материалов Официального журнала ЕС. 

Ограничения в отношении этих банков предполагают заморозку активов на территории стран Евросоюза, а также запрет на сделки с этими кредитными организациями.



? Источник: https://frankrg.com/114044",0
"{$SRM3} если 21-го апреля дивиденды в размере 25 утвердят. то разница между фьючи и базовым активом будет 25 рублей + же? 
Сейчас разница только 17.5 рублей 
Правильно же я понимаю?",0
"{$TATN} на сколько упадёт после 6-го? Ваши предположения? Если сильно, на мой взгляд можно прикупить.",0
"{$MSTT} А говорили, что это компания пустышка. Что все активы вывели в другое ООО ""дороги и мосты"". Я вообще думал, что эту акцию делистнут. А оно во как.",0
"{$9868} ?

upd: начали сливать
upd: вроде восстанавливаемся",0
"{$MDMG} взял на 427, добавил когда отпустилась до 423. Впринципе думаю, что сейчас пройдёт коррекция и начнёт расти до 480",0
"Спасибо вам ! Вы у меня самые лучшие !  Не стоите в стороне и поддерживаете! ???
Win win",0
"{$NKNCP} набрал позицию, всё-таки рассчитываю на то, что в 2023 будут выплачены дивы, УК Доход говорит, что будут очень неплохие, чтож рассчитываем..",0
"{$POLY} стакан как у фокусника, с двойным дном",0
{$GAZP} медведи опять толпой навалились на быков-героев,0
"{$LKOH} 11% им мало.... А не зажрались ли вы, Хомячье?",1
"{$BBBY} думаю сейчас отпустят чуть, потом какорячат ??????",0
"Сколько же чёрных лебедей ещё в 2022-м? А пока все паникуют, подставляю ведра.",0
{$TCSG} у всех глючит приложение Инвестиции?,0
$POLY На днёвках норм картина рисуется ... Не долго осталось быковать :),0
"{$GAZP} Транспортировка российского газа через территорию Австрии возобновляется. 

«Газпрому» совместно с итальянскими покупателями удалось найти решение по формату взаимодействия в условиях регулятивных изменений, произошедших в Австрии в конце сентября. 

Австрийский оператор сообщил о готовности подтверждать транспортные номинации ООО «Газпром экспорт», что позволяет возобновить поставки российского газа через территорию Австрии.",0
{$COIN} скорее всего к 70-71 упадет сегодня,0
Apple потребовала от Rutube скрыть в приложении контент российских госсми,0
"Вчера , все что успела забрать  из детского мира, в Poly вложила, и сегодня Хороший день, а значит и настроение???",0
"{$FESH} Суд удовлетворил иски к фигурантам дела совладельца группы «Сумма» Зиявудина Магомедова на сумму 3,6 млрд рублей — ТАСС",0
"Перевозки пассажиров в России приблизились к стагнации

Они не успели восстановиться после пандемии до СВО и частичной мобилизации",0
"Hi there, I wanted to tell you that I'm tired of sitting here( But I will try to write something for you, but not as often as in the summer, study(",0
{$VSMO} помогайте росту,0
"{$MMZ2} это не боковик, это раздача . Киты выгружаются, хомы тарятся",0
"2600 в моменте и сразу откупили. Можно подумать стопы снимают? Но уже слишком на 20% вниз. Кто знает что это было?
{$TCS} {$TCSG}",0
"Не поверите, купил {$SBER} одну штучку))))) 
Зарекался до лета не торговать, но на работе звезда как скучно ?. 
Очень интересно чем закончится история с дивидендами топ1 компании в России ?. 
Я лично ставил на выплату, но рисковать не буду, а поучаствовать хочется))",0
"{$POLY} плита  на покупку по 571 
очень саболезную купившим",0
"Россия, Казахстан и Туркменистан обсудят строительство трассы в обход Каспия в мае",0
"{$ALRS} #DriverPresent Люблю халяву .Я выбираю акции Алросы,вижу высокий потенциал роста этой ценной бумаги.Алроса обладает крупнейшими запасами алмазов, лидирует по объемам добычи в каратах.Алмазы в мире будут востребованы ещё долгое время,каждый год выручка данной компании растет .Акции Алросы я бы взял в долгосрок на 5 лет .Мой прогноз  : +- 200%",0
"{$SBER}, попробовал открыть шорт. Ознакомился с комиссией. А вот про издержки как то мало инфы. К примеру я не понял что за коофициент х2,7? И при каких случаях приходит Колл? Если не трудно объясните простыми примерами пожалуйста ?",1
Запасной датой проведения внеочередного собрания акционеров Татнефть на случай отсутствия кворума определено 27 сентября ?? ??,1
{$BBBY} не успел убрать стоп.. продал по 27...?,0
"Всем привет. Я начал инвестировать не так давно. Набираю позиции 40% с потенциалом роста, 40% дивидендные, и 20% облигации. Здесь буду рассказывать о своих сделках.",0
"Субботняя ситуация на российском фондовом рынке меня озадачила...почему в плюсе были эти  акции ? 
Алроса
Интер РАО ЕЭС
МТС
Норникель
Роснефть
Россети
Ростелеком
Сбер
Яндекс
 
Неужели из-за ""выходной"" торговли?
Такие разные отрасли, разные ситуации в бизнесах, ""дивов"" не предвидится пока....
Ваши версии, ваши комментарии...",0
{$GDH3} думаю пойдёт ещё ниже,0
"?Обещаю будет интересно, а пока можете кидать акции для разбора, в сжатом формате расскажу с технической состовляющей бумаги ??",0
"{$UWGN} моя усреднения цена инструмента 39.5
Летим дальше!!!!",0
"{$GPS} 
Канье Уэст сообщил Gap о прекращении сотрудничества - WSJ

Канье Уэст заявил, что Gap нарушил соглашение об открытии магазинов - письмо - WSJ",0
"#рынки #азиатско_тихоокеанский_регион  
Рынки Азиатско-Тихоокеанского региона торговались в среду разнонаправленно. Гонконгский индекс Hang Seng прибавил 2,43%, в материковом Китае индекс Shanghai Composite снизился незначительно, а Shenzhen Component – на 0,72%.
Южнокорейский Kospi упал на 2,01%, австралийский индекс S & P / ASX 200 просел на 0,15%. В Японии индекс Nikkei 225 потерял 0,59%.
https://www.cnbc.com/2022/12/28/asia-pacific-shares-china-yuan-bank-of-japan.html",0
{$ROSN} А что там по первому каналу за прямой эфир? Не это ли причина?,0
В этом году господдержка создания предприятий по обращению с ТКО существенно увеличится,0
"{$MTLRP}
Всем привет! Хочу поделиться мнением по данной бумаге. Немного владею теханализом, поэтому считаю, что акция должна коснуться линии долгого нисходящего тренда(с мая), так как пробила его, но без объемов. Поэтому снижение должно быть в любом случае(так учит теханализ), а вот когда коснется его, будет либо отскок с дальнейшим ростом, либо нет(но это будет зависеть от новостей и объемов). Всем профита.
Не ИИР.",0
{$MTSS} почему тут пишет что Долг/капитал более 6000%?,0
"Как менялась стоимость акций ""Сбера"" за последние 23 года?

Особенно интересные этапы представлены в таблицах. 

Сбербанк России, история стоимости акций

2014 от 54.9 до 101.08 RUB
2013 от 88.23 до 108.36 RUB
2012 от 40.46 до 106.8 RUB
2011 от 78.27 до 89.5 RUB

{$SBER}


#расскажу_что_купить
#пульс_оцени
#прояви_себя_в_пульсе
#аналитика #турниры #акции #пишем_историю  #учу_в_пульсе #народный_портфель  #теханализ_в_пульсе",0
{$CBOM} безостановочно росла с 2015 до 2019. А тут всего-то пол года роста. Всё ещё впереди?,0
"{$NGJ3} стал замечать, что моё настроение зависит от цены на газ. ? Надо что-то менять в стратегии торговой",0
"•{$POLY} странные  ошибки с невозможностью купить, таких раньше не видел.",0
{$FTCH} инфляция хорошая. Порастем,0
{$POLY} даже битвы не видны (,0
"На первичном рынке облигаций видимо возникают трудности с размещением. Р-фарм снялась с размещения, Черкизово и Новые технологии постоянно сдвигают сроки и повысили ориентир купона на 1%. 
Я жду обоих по розничной цене. Буду держать.
По спекулятивным сделкам еще раз удалось забрать +1,5% в БифоркомТек (950->965?) на прошлой неделе. Волатильность вроде спала, сидим наблюдаем.",1
"{$BBBY}  купил сегодня
И сразу в минус улетела 
но #идея_на_миллион 
Прилипнуть все ж успела",0
"?? В 15.30ч по МСК, ждём в США выхода статистики по инфляции, она станет определяющей для дальнейшей денежно-кредитной политики ФРС, а также и в целом для фондового рынка.",0
{$POLY} по-моему отсюда лучше свалить,0
"{$PHOR} обожаю этот цирк выходного дня, показывает акция стоит 7400 продать можно только по 7300 ??? жулье",1
{$VTBR} В втб на мелких именно так и начали размечать. ?,0
"[&363c83d6-d87f-44f3-aa40-83b697aef933](https://www.tinkoff.ru/invest/strategies/363c83d6-d87f-44f3-aa40-83b697aef933)  посмотрел, на доходность стратегии и поразился :

На каком российском рынке можно заработать?  Недвижимость в следующем году просядет, металлурги, банки, нефняники..... Не резидентов не допускают на российский рынок. Так кто будет скучать активы???

От куда появиться ликвидность??? ???

Думаю что заблокируют пост. ?Или вообще заблочат. Ладно Переживу. ???

Готов к диалогу и признаю ошибку если не прав. ?",0
{$DSKY} в лучшем случае  до 69 упадет сегодня,0
"Доброго дня ?? Простая математика от Тинькофф инвестиции. У Паши доходность с апреля по декабрь 2022 г. +77,56%?, с января по апрель 2023 г. +21,15%?. Какова суммарная доходность Пашиного портфеля за год? Правильный ответ: -3,68%?",0
"{$MRKV} не думаю я, что с пульса столько народа сразу ломятся в акцию, прочитав новость. Идет локомотив, ты либо перед ним, либо за ним, либо в нем.",0
Решил попробовать взять 2 -  {$MDMG} на торговлю . Посмотрим что выйдет. Цель получить + от 200,0
Путин попросил Минфин не повышать ставки по уже взятым льготным кредитам в туротрасли,0
{$PRFN} жду до 3 и режу лося,1
{$GAZP} кто скажет что за новости то нет?,0
{$USDRUB} доллар по 30 реальность. Но сначала деноминация,0
"{$ASTR} хотя бы на 1.15, если 1.28 -1.30 вообще шоколад",0
"{$SI} у всех такой баг с отображением? На одном счету отражает верную цифру плюса и цены,а на другом нет-тоже обособили?",0
"{$ROKU} Объясните плиз, почему на неё такие высокие прогнозы, если это просто тв-приставки? Какие факторы роста?Больше будут производить или может новая модель выйдет?)",0
"{$TCS}

Прошло обещанных три недели, а обещанные торги так и не возобновились. По крайней мере, {$TCS}  ?",0
{$EAR} Они надоели останавливать торги данной акцией,0
{$LSNG} {$ORUP} чтож сегодня так слабо идут?,0
"{$SMLT}
??Группа «Самолет», судя по всему, намерена выйти в Новосибирск. По крайней мере, набирают людей под это направление.",0
"{$COIN} к вечеру можем вернуться на 85, уже было за день тут -10 и +10, так что расслабьтесь, кто напрягся))",0
{$MSTR} вроде все растёт тут кто то не даёт,0
"{$GAZP} пора чуть скинуть. Нелогично держать лонг, при адском шорте по портфелю в других компаниях.",1
{$VKCO} ох кто не рискует # идея на миллион,0
"Два мои самые неудачные инвестрешения из трёх в году принадлежат одному сектору - {$FIVE}, не заработал свыше 100% на росте, выйдя на летних низах, и {$MGNT} , потерял до 40%, войдя на пике последнего в году его восходящего тренда..  и это они зовут ""защитным сектором""???",0
"Мне кажется или всё же вырисовывается паттерн голова плечи

{$SBER}",1
"{$NGG3} достали вы уже с торгашом и своими неоправданными ожиданиями.. Реально считаете, что вам виноват он? А ещё мм? А ещё газ?.. ?????",0
"В ЕС обсудят запрет на европейские криптокошельки для россиян

У граждан России есть варианты в других юрисдикциях и платформах",0
"{$EHTH} На месячном граффике, чашка с ручкой????
Есть повод засомневаться в своём шорте...
Какие мысли?
Думаю может откатить, ниже 7$ за пару дней, но может закрыть шорт пока не поздно, а то унесёт на 8+ жалко будет. 
Вроде очевидно же?????
Может есть мысли по этому поводу?)",1
"Лидеры роста и падения сегодня
Московская биржа -0.54%
{$MOEX}",0
"{$AGRO}
А что означает ""В портфеле 22"" и рядом такой серый значок замочка и там ""1""?",0
{$GAZP} кто нибудь может найти эту облигацию в списке газпрома?,0
Какой хороший рост {$SBER} вот вопрос на сколько упадет после выплаты дивидендов,0
{$GAZP} откуда позитив на 5 рублей. Или сбить шорртистов чтоб порезать потом лонгистов?  Все новости не в пользу газпрома и такой скачок.,1
{$USDRUB} дедолоризация это когда цена за доллар настолько высокая что ты даже не можешь его купить,0
"{$MVIS} Предполагаю такое движение ?? аккуратнее с отскоком, его может не быть.",0
{$NVDA} очередной памп на негативе ???,0
{$TSLA} теперь поддержка отвечает так. Почему такая неопределённость то ?,0
"{$POLY}, взлет отменяется?",0
"{$TCS} за хвост держат цену, чтобы не подскочила.. завтра пойдет жара..",0
